Date,Open,High,Low,Close,Volume
2024-07-01,266.62980847294364,283.2047484455137,263.7686620633513,279.2583312988281,706695
2024-07-02,279.2583073264798,279.9982604779636,269.0962960896105,270.5762023925781,430305
2024-07-03,270.3295382841882,279.8502623516402,268.701647451311,275.70654296875,376230
2024-07-04,275.26258742117955,277.3837805498033,270.42823258858357,272.0068054199219,797997
2024-07-05,271.7601339604405,274.17729614094526,265.88982703435573,266.97509765625,308199
2024-07-08,268.6029712158576,272.1547520636061,261.54875779153826,262.7820129394531,249769
2024-07-09,264.1139672636756,274.9666139107501,264.06461898638025,267.4190673828125,488434
2024-07-10,268.6029962952589,270.2308872207486,254.7905373489462,256.3691101074219,543348
2024-07-11,259.47689990430734,261.99272852527065,255.6784677812925,260.3648376464844,279647
2024-07-12,263.8179736028844,264.1139729467097,259.57558732034283,261.5981140136719,377034
2024-07-15,264.3112834563242,264.3112834563242,257.45440170123504,258.5396423339844,173622
2024-07-16,259.4275964229545,264.360617612904,258.39164390780195,262.7326965332031,647134
2024-07-18,262.732680255544,264.01528375073,257.7996593712208,261.3514404296875,237916
2024-07-19,260.46350372673334,267.9123532481375,256.4184205637687,265.1005554199219,957927
2024-07-22,262.63403398903705,266.975086181259,254.2972169664171,266.38311767578125,300349
2024-07-23,267.3697298207252,267.61638086299524,255.5304797917632,266.136474609375,334222
2024-07-24,265.8404907977242,274.9665788603574,262.48601272012024,271.3161315917969,386728
2024-07-25,270.4752253268906,273.9377831534374,266.1717545613894,268.99127197265625,437520
2024-07-26,269.09022196255296,272.5527799657476,267.95253037115384,270.7225646972656,590021
2024-07-29,274.38298494125746,280.12092591200206,271.16775263033315,272.84954833984375,600777
2024-07-30,272.84957517613356,280.3188260092812,272.5527965485326,279.03271484375,502721
2024-07-31,279.9725429913375,293.92171106552354,276.06478694027965,287.78802490234375,1148633
2024-08-01,287.8869548596834,289.1730357087299,273.8883340550717,281.9511413574219,928278
2024-08-02,277.6476760386913,277.94448483435843,269.38699604592745,271.3656005859375,559283
2024-08-05,265.92446859552024,265.92446859552024,254.4485851003643,256.7239685058594,609989
2024-08-06,256.47664515177405,262.7092381455552,250.39244147858525,252.27210998535156,219134
2024-08-07,255.19055444014296,259.09828062606357,252.27210041768964,258.1089782714844,231963
2024-08-08,256.27876290870034,272.99799685602704,256.27876290870034,269.0902404785156,716813
2024-08-09,273.7399844483441,280.96187984683513,265.18249458885106,267.903076171875,819876
2024-08-12,265.0836028219735,274.976627294656,263.104997927437,272.4538879394531,272569
2024-08-13,271.26671960230755,271.31617264393816,259.296154989822,261.86834716796875,124004
2024-08-14,261.27473691764555,262.11564988978455,255.23998700072434,261.4231262207031,127080
2024-08-16,261.42314313422884,275.8174800931789,261.42314313422884,267.0126953125,361945
2024-08-19,267.26002647962775,270.2774167918868,263.6490789043386,264.58892822265625,116061
2024-08-20,264.73730071626045,268.2493117941775,260.38437664766866,266.3201904296875,144244
2024-08-21,267.2600064183657,276.2626632556066,266.1717678659767,269.7827453613281,503827
2024-08-22,272.2559857185962,275.7679965579584,266.22123607856815,268.892333984375,182636
2024-08-23,269.9805882175564,273.6904717956405,265.47927488592484,268.0019836425781,209383
2024-08-26,267.2105627791697,269.13968418928977,260.58222515602284,263.05548095703125,366104
2024-08-27,263.1543998315172,264.0447658228005,256.3282203101996,257.4659118652344,368030
2024-08-28,258.80148635407124,271.9591947982725,257.2680496824879,265.3803405761719,773213
2024-08-29,267.06217659167015,272.05814129167277,265.13302496788475,265.97393798828125,477317
2024-08-30,267.3095081962875,269.3870189873346,261.17582152345847,265.4298095703125,315622
2024-09-02,266.0728863694284,266.0728863694284,259.4940014095172,260.28546142578125,101360
2024-09-03,260.2854372387061,265.3803379685666,259.4939772959886,263.4017333984375,105223
2024-09-04,263.3522927648472,267.11162954871804,256.47662948335244,258.6531066894531,348180
2024-09-05,260.0875942122873,260.0875942122873,257.4164958542417,257.8616638183594,208162
2024-09-06,258.8014842710839,264.63836172511685,255.5862518389096,257.9605712890625,227737
2024-09-09,257.0702282293742,264.8362579127787,249.55152413976535,263.00604248046875,388200
2024-09-10,264.24265581795964,266.9137539683822,262.11566186731454,263.05548095703125,246716
2024-09-11,264.44050730256873,265.0835779859347,256.37769915097084,258.1089782714844,106749
2024-09-12,258.20789688826915,259.4445247469294,250.39241485975805,251.57957458496094,265705
2024-09-13,252.8656768798828,254.25069407788263,249.65044436722476,252.8656768798828,336457
2024-09-16,253.7065864298954,256.2292952136631,249.35364726082443,250.8376007080078,184406
2024-09-17,251.28278111641927,251.92582156530625,247.5234294034406,248.85899353027344,227692
2024-09-18,248.85900212396552,252.81621141205704,243.91249051385114,246.63307189941406,190002
2024-09-19,247.9191646262025,251.5795801496913,239.41115873220772,248.26541137695312,374311
2024-09-20,248.26542206589548,249.99670118085368,244.30821266027672,245.248046875,127843
2024-09-23,247.72130278720968,251.77744846674304,245.49537249624635,250.73867797851562,295296
2024-09-24,251.23331905677776,251.23331905677776,242.62639196342482,244.6544647216797,183266
2024-09-25,247.07825776852133,247.07825776852133,236.4432576843908,242.23068237304688,569494
2024-09-26,242.47801960324466,243.56624316492974,238.42187380322454,239.26278686523438,106062
2024-09-27,239.90581397507344,241.58762490960206,233.27749141219283,236.64111328125,228972
2024-09-30,236.9378963143676,239.36168388385875,232.9806871901193,237.82826232910156,140925
2024-10-01,238.42185217023186,242.08226762842318,237.5809391845215,238.87693786621094,147715
2024-10-03,238.90661512438768,241.24136912946202,230.50743325921232,237.9370880126953,262156
2024-10-04,236.5421919221869,239.0945786363441,231.76385988144565,237.5413818359375,112634
2024-10-07,237.6304078501289,238.5207889715015,226.382045605006,229.79513549804688,270785
2024-10-08,230.50744561691928,233.35664119160325,226.59970438630154,228.63766479492188,279523
2024-10-09,228.67723671874785,234.9593128045877,228.67723671874785,233.60397338867188,97510
2024-10-10,233.6039693036712,234.71198310778547,228.68713540458015,230.61627197265625,175442
2024-10-11,230.61626634279548,236.1365751459119,229.33017029695594,233.93043518066406,74765
2024-10-14,233.96999521172063,235.54298225427,229.0234836850458,232.6938018798828,123959
2024-10-15,232.6937976746969,239.11435985913468,231.07134252709037,236.09698486328125,245193
2024-10-16,236.09697747342022,238.76810564239022,231.3977917550867,232.92132568359375,166645
