Date,Open,High,Low,Close,Volume
2024-07-01,2275.339177969511,2374.2669683160116,2265.0507843826454,2346.61669921875,113161
2024-07-02,2372.7827869269745,2433.623371207153,2364.4234378792366,2395.8330078125,196281
2024-07-03,2410.672240855801,2422.5435746996186,2376.0475171446665,2402.2138671875,65676
2024-07-04,2402.015121773684,2429.194849290984,2365.295012685883,2392.027587890625,78435
2024-07-05,2413.7913400157304,2413.7913400157304,2355.9036743197325,2363.05908203125,70453
2024-07-08,2385.021457386723,2385.0711948943476,2307.556381060281,2316.251953125,55530
2024-07-09,2323.456960715694,2350.2392753612207,2299.6062476886723,2334.2890625,57648
2024-07-10,2345.3198768654606,2352.2265966225127,2265.817508158157,2309.4443359375,47473
2024-07-11,2350.2888561080026,2350.2888561080026,2305.5687721651443,2311.680419921875,37807
2024-07-12,2315.3575157927553,2405.791460083461,2315.3575157927553,2346.263916015625,112443
2024-07-15,2353.2701249712954,2381.0959541516995,2316.500279268619,2363.506103515625,63300
2024-07-16,2384.5245588860403,2414.884576051747,2289.6683387749895,2322.413330078125,90025
2024-07-18,2334.0405454210013,2341.046740680508,2289.668379814112,2303.03466796875,38472
2024-07-19,2315.456889751843,2330.413322284935,2234.016694454812,2249.867431640625,49713
2024-07-22,2159.880678743248,2295.5813437829706,2159.880678743248,2265.32080078125,58359
2024-07-23,2247.979369362706,2307.556412540196,2186.315291812417,2272.376708984375,73858
2024-07-24,2292.649783516143,2325.444513839521,2248.2776166577055,2276.0537109375,76416
2024-07-25,2241.917268516207,2292.8982157148607,2241.917268516207,2258.8115234375,33555
2024-07-26,2285.6933146123815,2432.7727105091785,2270.2399917217986,2353.86669921875,318694
2024-07-29,2379.108488056726,2472.523775390616,2379.0587505497047,2394.41259765625,165334
2024-07-30,2372.1520099341687,2518.2376175840736,2369.1706710025383,2447.182373046875,230088
2024-07-31,2469.542433735561,2494.33718751366,2433.816103792033,2484.20068359375,129412
2024-08-01,2495.6292876438124,2533.8898063393967,2435.803797844207,2446.93408203125,121989
2024-08-02,2432.7725221524365,2464.5734701544293,2400.0275320310307,2424.474365234375,66008
2024-08-05,2327.481609395005,2366.5866918998945,2260.848637296657,2269.1962890625,140417
2024-08-06,2285.593752920695,2360.2267027599196,2265.8673721571367,2278.33935546875,72113
2024-08-07,2344.3262774289624,2399.9779398011633,2295.1341830106776,2373.791748046875,109995
2024-08-08,2272.6745822522935,2304.5750060340292,2195.2592446438857,2208.4765625,377215
2024-08-09,2236.0042782694363,2241.569541521926,2192.3277098916383,2208.5263671875,83333
2024-08-12,2220.103766163755,2220.103766163755,2158.092012268675,2179.656982421875,63035
2024-08-13,2186.315249779282,2188.302809097263,2092.8999618341672,2110.53955078125,87722
2024-08-14,2110.7880096658328,2155.0112047835964,2076.2541662873546,2105.47119140625,89353
2024-08-16,2171.1601824720956,2171.1601824720956,2135.632558476958,2160.47705078125,56611
2024-08-19,2160.4769250224995,2195.358687236099,2134.63865453005,2139.160400390625,60579
2024-08-20,2139.607568705792,2186.315211868436,2133.296970931833,2138.265869140625,57302
2024-08-21,2111.781664599269,2145.6696462423342,2111.781664599269,2132.94921875,56176
2024-08-22,2143.682299157764,2223.582090407867,2142.589044433234,2169.023681640625,125838
2024-08-23,2186.017111933946,2189.445603302979,2150.539225908923,2166.986328125,56289
2024-08-26,2195.2592176868648,2195.2592176868648,2151.532913667751,2158.9365234375,49814
2024-08-27,2170.7626994732555,2216.0789064399746,2160.7751653561804,2209.221923828125,83965
2024-08-28,2209.2219741214367,2227.0602709174163,2174.439685195908,2180.054443359375,32870
2024-08-29,2195.9549152093928,2235.0105052438325,2170.414825901525,2194.563720703125,95989
2024-08-30,2206.240614890891,2217.5198686232343,2186.315283892833,2210.513916015625,34692
2024-09-02,2231.233941885242,2231.233941885242,2176.476830701092,2184.4765625,30908
2024-09-03,2201.2218869417065,2210.165903638084,2176.4271336244797,2183.781005859375,31220
2024-09-04,2176.3774248750633,2225.0726275320853,2167.4334080605086,2192.32763671875,68736
2024-09-05,2194.2655581695344,2233.022966126333,2194.2655581695344,2205.644287109375,44083
2024-09-06,2210.066604398348,2279.2337694001676,2206.19096057047,2221.09765625,150759
2024-09-09,2236.00431230253,2236.8986169786526,2191.433195961835,2206.737548828125,32928
