Date,Open,High,Low,Close,Volume
2024-07-01,215.375,222.47500610351562,215.375,221.5,8947608
2024-07-02,222.4875030517578,233.22500610351562,220.27499389648438,231.1750030517578,7230704
2024-07-03,233.5,236.10000610351562,227.0,228.125,2386816
2024-07-04,229.5,229.5,225.0625,227.6999969482422,1485168
2024-07-05,228.5,231.39999389648438,221.3000030517578,229.64999389648438,1928804
2024-07-08,230.25,242.5,230.25,233.5749969482422,4731876
2024-07-09,230.5,240.58749389648438,230.5,233.9250030517578,2538056
2024-07-10,233.9250030517578,234.75,223.5,226.0,1589672
2024-07-11,226.0,230.77499389648438,225.02499389648438,226.91250610351562,860064
2024-07-12,229.1875,232.91250610351562,225.4499969482422,226.64999389648438,1500632
2024-07-15,225.4875030517578,230.58749389648438,223.58749389648438,227.14999389648438,1389616
2024-07-16,227.14999389648438,236.97500610351562,227.14999389648438,230.6374969482422,2562208
2024-07-18,215.02499389648438,233.75,213.75,231.8125,9982668
2024-07-19,229.125,233.14999389648438,221.5,222.8249969482422,2365660
2024-07-22,219.875,222.47500610351562,217.5,218.33749389648438,997676
2024-07-23,219.4875030517578,220.21249389648438,206.0625,218.83749389648438,1160312
2024-07-24,220.0500030517578,229.97500610351562,220.03750610351562,228.4375,1161620
2024-07-25,226.0,231.25,225.0,227.9375,1794916
2024-07-26,232.08749389648438,232.08749389648438,225.2375030517578,226.28750610351562,684740
2024-07-29,225.75,232.8874969482422,225.25,226.02499389648438,700884
2024-07-30,226.6999969482422,232.4875030517578,225.4250030517578,226.4250030517578,1059380
2024-07-31,228.71249389648438,232.0,225.75,226.71249389648438,1001760
2024-08-01,227.3249969482422,242.25,226.53750610351562,237.33749389648438,5132048
2024-08-02,238.75,258.7250061035156,237.5124969482422,245.35000610351562,19927692
2024-08-05,238.72500610351562,241.3000030517578,225.5,227.375,6210416
2024-08-06,233.3249969482422,238.4250030517578,224.0,225.64999389648438,7305476
2024-08-07,230.0,232.85000610351562,223.78750610351562,226.3874969482422,2212092
2024-08-08,227.75,239.41250610351562,225.3000030517578,232.71249389648438,4355548
2024-08-09,235.1125030517578,241.25,230.35000610351562,236.66250610351562,2215032
2024-08-12,234.9499969482422,243.75,232.3125,237.5,3557640
2024-08-13,238.75,245.375,232.625,234.9250030517578,3015120
2024-08-14,233.5124969482422,235.125,228.75,230.39999389648438,1959968
2024-08-16,231.6750030517578,242.5,230.875,235.6999969482422,3885580
2024-08-19,237.5124969482422,240.4499969482422,231.8625030517578,234.2624969482422,1707460
2024-08-20,236.22500610351562,236.60000610351562,231.3249969482422,234.0,1023944
2024-08-21,235.0,249.47500610351562,233.5124969482422,241.78750610351562,5477888
2024-08-22,242.625,244.1125030517578,236.52499389648438,237.9499969482422,1433400
2024-08-23,239.25,243.7375030517578,233.75,235.1999969482422,2022708
2024-08-26,236.28750610351562,238.75,232.5625,233.3625030517578,1274956
2024-08-27,233.3625030517578,245.03750610351562,233.3625030517578,236.6125030517578,5697524
2024-08-28,237.72500610351562,239.9875030517578,233.25,236.64999389648438,3472352
2024-08-29,236.10000610351562,237.6999969482422,231.5,235.3625030517578,1638048
2024-08-30,236.125,237.7375030517578,230.25,232.1750030517578,1580108
2024-09-02,232.5,234.2375030517578,227.875,229.60000610351562,1248968
2024-09-03,230.0,233.0,227.77499389648438,229.53750610351562,1505120
2024-09-04,229.08749389648438,242.25,228.0500030517578,236.5625,6752456
2024-09-05,237.2375030517578,241.6125030517578,235.3125,236.0124969482422,2915468
2024-09-06,237.0,238.75,228.83749389648438,229.97500610351562,1793796
2024-09-09,232.0,237.4875030517578,229.4875030517578,231.03750610351562,2074736
2024-09-10,234.125,244.9875030517578,233.75,240.6750030517578,12787468
2024-09-11,242.47500610351562,247.3125,236.3125,241.27499389648438,11196408
2024-09-12,245.0,254.6999969482422,244.6875,252.0500030517578,11842380
2024-09-13,260.0,264.75,244.46249389648438,262.4125061035156,27503896
2024-09-16,268.5,270.8500061035156,261.26251220703125,266.26251220703125,8945560
2024-09-17,265.0,269.75,260.7250061035156,267.0874938964844,6275832
2024-09-18,265.92498779296875,274.5,263.75,271.8374938964844,7064416
2024-09-19,277.51251220703125,279.25,249.1125030517578,258.125,13020040
2024-09-20,260.42498779296875,264.25,253.1750030517578,259.1499938964844,3953460
2024-09-23,261.25,264.4750061035156,258.375,262.3999938964844,2211572
2024-09-24,262.3999938964844,262.79998779296875,253.0625,254.8625030517578,1946784
2024-09-25,254.8625030517578,258.25,250.10000610351562,251.5500030517578,2099996
2024-09-26,251.3125,254.2375030517578,246.10000610351562,247.4375,1896484
2024-09-27,247.7624969482422,250.47500610351562,243.75,245.08749389648438,1763244
2024-09-30,246.1999969482422,248.10000610351562,242.5,246.1875,1835096
2024-10-01,246.25,253.3249969482422,242.0,250.375,2653628
2024-10-03,245.375,254.25,244.27499389648438,245.875,2617584
2024-10-04,245.875,247.5124969482422,237.5124969482422,238.53750610351562,2322304
2024-10-07,239.8625030517578,241.9875030517578,223.89999389648438,226.14999389648438,2394136
2024-10-08,226.14999389648438,240.4499969482422,222.72500610351562,238.9375,2659504
2024-10-09,239.83749389648438,247.0625,239.2375030517578,244.5749969482422,2111660
2024-10-10,245.58749389648438,250.0,233.77499389648438,234.58749389648438,1777500
2024-10-11,235.0,235.5124969482422,230.02499389648438,230.85000610351562,1163000
2024-10-14,231.6999969482422,235.60000610351562,228.89999389648438,232.53750610351562,1402460
2024-10-15,232.75,236.16250610351562,228.1374969482422,229.35000610351562,1132144
2024-10-16,230.72500610351562,231.2375030517578,227.3625030517578,228.47500610351562,804584
2024-10-17,229.25,229.4875030517578,223.75,224.3125,957372
2024-10-18,224.5,233.625,219.58749389648438,231.6999969482422,2096612
2024-10-21,232.0,233.8625030517578,222.47500610351562,224.9499969482422,1402100
2024-10-22,225.0,226.2375030517578,212.5,215.96249389648438,2427312
2024-10-23,217.5,223.77499389648438,213.77499389648438,215.9499969482422,1404380
2024-10-24,217.75,221.6999969482422,215.25,217.4499969482422,1321584
2024-10-25,215.9375,219.0,208.6374969482422,214.3625030517578,1611084
2024-10-28,212.8125,229.5,211.7624969482422,227.4250030517578,2745668
2024-10-29,226.25,231.10000610351562,226.1125030517578,229.5,1207256
2024-10-30,230.75,237.5,230.3125,233.97500610351562,1383244
2024-10-31,233.97500610351562,238.6374969482422,233.97500610351562,235.72500610351562,954028
2024-11-01,237.0,237.9875030517578,235.28750610351562,236.9375,504700
2024-11-04,236.9375,237.1999969482422,232.5,232.91250610351562,832036
2024-11-05,230.3874969482422,234.5,229.4250030517578,231.53750610351562,579720
2024-11-06,232.6999969482422,238.25,231.6125030517578,236.9875030517578,793556
2024-11-07,238.5,241.75,232.0625,233.8125,1303148
2024-11-08,233.8125,234.22500610351562,229.0,231.1125030517578,1387360
2024-11-11,228.6125030517578,230.75,223.16250610351562,224.6750030517578,910272
2024-11-12,225.7375030517578,230.0124969482422,218.75,220.4875030517578,4588416
2024-11-13,219.25,228.25,218.03750610351562,221.8874969482422,1764820
2024-11-14,219.75,231.25,219.3125,228.0124969482422,1140252
2024-11-18,225.25,233.0,218.77499389648438,230.35000610351562,1578788
2024-11-19,230.10000610351562,235.5749969482422,229.2375030517578,231.91250610351562,1403380
2024-11-21,231.91250610351562,231.91250610351562,226.0,226.9250030517578,659788
2024-11-22,227.8625030517578,233.5625,227.3249969482422,230.0124969482422,1859688
2024-11-25,231.25,239.75,230.0,237.0,3528804
2024-11-26,239.25,249.75,236.77499389648438,249.0625,3146544
2024-11-27,250.75,255.5,246.39999389648438,247.6999969482422,1697428
2024-11-28,249.5,256.2250061035156,248.0,255.33749389648438,2040720
2024-11-29,256.25,258.7250061035156,248.6875,250.22500610351562,2026228
2024-12-02,252.5124969482422,256.75,249.60000610351562,252.64999389648438,1324448
2024-12-03,257.54998779296875,261.92498779296875,253.75,254.5,2807760
2024-12-04,255.5,259.6000061035156,251.625,256.2250061035156,1109680
2024-12-05,257.48748779296875,261.29998779296875,254.75,256.4125061035156,1186008
2024-12-06,256.25,265.2250061035156,255.0124969482422,263.625,2608004
2024-12-09,266.11248779296875,266.11248779296875,259.25,261.3500061035156,762452
2024-12-10,260.2124938964844,263.5375061035156,253.0,253.7624969482422,832264
2024-12-11,254.5124969482422,256.0,249.7624969482422,250.5625,1005340
2024-12-12,251.6125030517578,254.25,249.25,250.96249389648438,594832
2024-12-13,251.0,252.28750610351562,246.27499389648438,250.625,839148
2024-12-16,251.0,259.25,251.0,258.1875,1099264
2024-12-17,260.23748779296875,266.75,256.13751220703125,258.2749938964844,2559732
