iter	Logloss
0	0.6717567563
1	0.6555651867
2	0.6464594305
3	0.6305297386
4	0.6159953416
5	0.6011477947
6	0.5884229937
7	0.5790798333
8	0.5691729502
9	0.5586210869
10	0.5516108789
11	0.542002738
12	0.5298952107
13	0.5221967838
14	0.5145757344
15	0.5054048156
16	0.4997917724
17	0.4874577718
18	0.477751235
19	0.4706698746
20	0.4634278609
21	0.457125941
22	0.4530941585
23	0.4455134659
24	0.4381566506
25	0.4313312722
26	0.423811118
27	0.4193192783
28	0.4128975946
29	0.4063077228
30	0.4007250434
31	0.3947044362
32	0.3891467809
33	0.3799407255
34	0.3699616446
35	0.3651086784
36	0.3610435121
37	0.3558122342
38	0.3499983664
39	0.3471495052
40	0.3422474799
41	0.3375928848
42	0.3324926359
43	0.3271349963
44	0.3232229578
45	0.3182122362
46	0.3135146546
47	0.311231959
48	0.3070181634
49	0.3038600758
50	0.3011016832
51	0.2977308265
52	0.2953909735
53	0.2919613545
54	0.2858149447
55	0.2807470116
56	0.2779719905
57	0.274881515
58	0.2727542743
59	0.2695825232
60	0.2640101937
61	0.260544572
62	0.2578959661
63	0.2547967177
64	0.2519111957
65	0.2502465361
66	0.2478520121
67	0.2459393223
68	0.2439090828
69	0.2422501659
70	0.2393284285
71	0.2354613101
72	0.2318450242
73	0.228785028
74	0.2272895904
75	0.2263820368
76	0.2236872006
77	0.2217375377
78	0.2171227687
79	0.2152665195
80	0.2110315596
81	0.2086309
82	0.2061832897
83	0.2039345622
84	0.2012633039
85	0.1997502818
86	0.197503632
87	0.1964545966
88	0.1941489699
89	0.1925227192
90	0.1914761434
91	0.190186068
92	0.1879756437
93	0.1863866513
94	0.1840308499
95	0.1822253078
96	0.1805297476
97	0.1782203338
98	0.1757983989
99	0.1737146071
100	0.1714082294
101	0.1686076078
102	0.1670844917
103	0.1651714977
104	0.1625772377
105	0.1602065413
106	0.1589610803
107	0.1580724094
108	0.1559411734
109	0.1543318837
110	0.1534434539
111	0.1510793242
112	0.1501410089
113	0.1485996049
114	0.1478022547
115	0.1472367672
116	0.1465332565
117	0.145460348
118	0.1442476796
119	0.142786836
120	0.1417159865
121	0.140668279
122	0.1389365925
123	0.1388674662
124	0.1376624958
125	0.1368205433
126	0.1365853762
127	0.1357255864
128	0.1347693318
129	0.1325784625
130	0.1312295522
131	0.129673011
132	0.1287678334
133	0.1274759085
134	0.1263839088
135	0.1249911116
136	0.1236593142
137	0.1228179027
138	0.1218346227
139	0.1201853342
140	0.1194087347
141	0.1182655285
142	0.1175588335
143	0.1163116101
144	0.1157931615
145	0.1150667866
146	0.1137652191
147	0.1125946807
148	0.1124324731
149	0.1115244315
150	0.1108374922
151	0.1093902992
152	0.1078755043
153	0.106713006
154	0.1064803204
155	0.1058126648
156	0.1051878066
157	0.1043995826
158	0.1040731144
159	0.1030178349
160	0.1021386224
161	0.1010323021
162	0.1008730879
163	0.09986686076
164	0.09836601606
165	0.09759446476
166	0.09632745224
167	0.09529142078
168	0.09369312595
169	0.0934108954
170	0.09221246759
171	0.09128406176
172	0.09034225903
173	0.08887967506
174	0.08873087084
175	0.08749261898
176	0.08734955434
177	0.08613160714
178	0.08465305508
179	0.08344829189
180	0.08231751365
181	0.08203989215
182	0.0807419767
183	0.08061893694
184	0.08032584571
185	0.07926192282
186	0.07824003781
187	0.07743970138
188	0.0764772223
189	0.07524924653
190	0.07458570753
191	0.07435464644
192	0.07352906936
193	0.07282651997
194	0.07215412255
195	0.07138978141
196	0.07072425567
197	0.07002716676
198	0.06928561773
199	0.0688435597
200	0.06876850006
201	0.06833252812
202	0.06786395725
203	0.06771231815
204	0.06698834905
205	0.06629215252
206	0.0655522798
207	0.06452308682
208	0.06386227982
209	0.06312367478
210	0.06285861835
211	0.06236783888
212	0.06151553207
213	0.06099635806
214	0.06049893206
215	0.05973992003
216	0.05919419345
217	0.05899905354
218	0.05889399712
219	0.05848061237
220	0.05809937878
221	0.05730308386
222	0.05671725301
223	0.05645580624
224	0.05618649443
225	0.05599417711
226	0.05545428038
227	0.05512470493
228	0.05448305038
229	0.05420890192
230	0.05388518143
231	0.05354704022
232	0.05309022528
233	0.05278426979
234	0.05238414653
235	0.05204105233
236	0.05171089652
237	0.05147837024
238	0.05090000518
239	0.05037981646
240	0.04989919105
241	0.04985223918
242	0.04980016958
243	0.04977034271
244	0.04968795366
245	0.04930217543
246	0.04896464581
247	0.04835646218
248	0.04802305292
249	0.04776191663
250	0.04769668479
251	0.04741656012
252	0.04738603191
253	0.04731161428
254	0.04728413223
255	0.04721928947
256	0.04711933816
257	0.04701245963
258	0.046716603
259	0.04647411379
260	0.04643917038
261	0.04608251679
262	0.04581164011
263	0.04573614893
264	0.04551559219
265	0.04537865364
266	0.04529207956
267	0.04501158062
268	0.04482490331
269	0.04475112864
270	0.044402179
271	0.04403278208
272	0.04366929583
273	0.0432390939
274	0.04295340471
275	0.04270296544
276	0.04253011272
277	0.04224315726
278	0.04201542035
279	0.04171707089
280	0.04140256011
281	0.04112321423
282	0.04080578777
283	0.04056804684
284	0.04018409111
285	0.03989886844
286	0.03983049109
287	0.03940971722
288	0.03912350705
289	0.03876869674
290	0.03855089658
291	0.03823585716
292	0.03779796391
293	0.03766896577
294	0.0375326578
295	0.03747050549
296	0.0373868107
297	0.0371969145
298	0.0370129634
299	0.03681648241
